first_player,,,DeepMCTS,DeepMCTS,RolloutMCTS,RolloutMCTS
score_player,,,DeepMCTS,RolloutMCTS,DeepMCTS,RolloutMCTS
board_size,bmcts_sim,match,,,,
Vortex_5,500,63,1,0,1,0
Vortex_5,500,64,1,0,1,0
Vortex_5,500,65,1,0,0,1
Vortex_5,500,66,1,0,1,0
Vortex_5,500,67,1,0,1,0
Vortex_5,500,68,1,0,1,0
Vortex_5,500,69,1,0,1,0
Vortex_5,500,70,1,0,1,0
Vortex_5,500,71,1,0,1,0
Vortex_5,500,72,1,0,1,0
Vortex_5,500,73,1,0,1,0
Vortex_5,500,74,1,0,1,0
Vortex_5,500,75,1,0,1,0
Vortex_5,500,76,1,0,0,1
Vortex_5,500,77,1,0,0,1
Vortex_5,500,78,1,0,1,0
Vortex_5,500,79,1,0,0,1
Vortex_5,500,80,1,0,1,0
Vortex_5,500,81,1,0,1,0
Vortex_5,500,82,1,0,1,0
Vortex_5,500,83,1,0,1,0
Vortex_5,500,84,1,0,1,0
Vortex_5,500,85,1,0,1,0
Vortex_5,500,86,0,1,1,0
Vortex_5,500,87,1,0,1,0
Vortex_5,500,88,1,0,1,0
Vortex_5,500,89,1,0,1,0
Vortex_5,500,90,1,0,1,0
Vortex_5,500,91,1,0,1,0
Vortex_5,500,92,1,0,1,0
Vortex_5,500,93,1,0,1,0
Vortex_5,500,94,1,0,1,0
Vortex_5,500,95,1,0,1,0
Vortex_5,500,96,0,1,0,1
Vortex_5,500,97,1,0,1,0
Vortex_5,500,98,1,0,1,0
Vortex_5,500,99,1,0,1,0
Vortex_5,750,0,1,0,1,0
Vortex_5,750,1,1,0,1,0
Vortex_5,750,2,1,0,0,1
Vortex_5,750,3,1,0,0,1
Vortex_5,750,4,0,1,0,1
Vortex_5,750,5,1,0,0,1
Vortex_5,750,6,1,0,1,0
Vortex_5,750,7,1,0,1,0
Vortex_5,750,8,1,0,0,1
Vortex_5,750,9,1,0,0,1
Vortex_5,750,10,1,0,1,0
Vortex_5,750,11,1,0,1,0
Vortex_5,750,12,1,0,1,0
Vortex_5,750,13,0,1,0,1
Vortex_5,750,14,0,1,1,0
Vortex_5,750,15,1,0,1,0
Vortex_5,750,16,1,0,1,0
Vortex_5,750,17,1,0,1,0
Vortex_5,750,18,1,0,0,1
Vortex_5,750,19,1,0,0,1
Vortex_5,750,20,1,0,0,1
Vortex_5,750,21,1,0,1,0
Vortex_5,750,22,1,0,0,1
Vortex_5,750,23,1,0,1,0
Vortex_5,750,24,1,0,0,1
Vortex_5,750,25,1,0,1,0
Vortex_5,750,26,1,0,1,0
Vortex_5,750,27,1,0,0,1
Vortex_5,750,28,1,0,1,0
Vortex_5,750,29,1,0,1,0
Vortex_5,750,30,1,0,1,0
Vortex_5,750,31,1,0,1,0
Vortex_5,750,32,1,0,1,0
Vortex_5,750,33,1,0,1,0
Vortex_5,750,34,1,0,1,0
Vortex_5,750,35,1,0,1,0
Vortex_5,750,36,1,0,1,0
Vortex_5,750,37,1,0,1,0
Vortex_5,750,38,1,0,0,1
Vortex_5,750,39,1,0,1,0
Vortex_5,750,40,1,0,1,0
Vortex_5,750,41,1,0,1,0
Vortex_5,750,42,1,0,0,1
Vortex_5,750,43,1,0,1,0
Vortex_5,750,44,1,0,0,1
Vortex_5,750,45,1,0,0,1
Vortex_5,750,46,1,0,1,0
Vortex_5,750,47,0,1,1,0
Vortex_5,750,48,1,0,0,1
Vortex_5,750,49,1,0,1,0
Vortex_5,750,50,1,0,1,0
Vortex_5,750,51,1,0,0,1
Vortex_5,750,52,1,0,1,0
Vortex_5,750,53,1,0,0,1
Vortex_5,750,54,1,0,0,1
Vortex_5,750,55,1,0,1,0
Vortex_5,750,56,1,0,1,0
Vortex_5,750,57,1,0,1,0
Vortex_5,750,58,1,0,0,1
Vortex_5,750,59,1,0,0,1
Vortex_5,750,60,1,0,1,0
Vortex_5,750,61,1,0,1,0
Vortex_5,750,62,1,0,1,0
Vortex_5,750,63,1,0,0,1
Vortex_5,750,64,1,0,1,0
Vortex_5,750,65,1,0,0,1
Vortex_5,750,66,1,0,0,1
Vortex_5,750,67,1,0,1,0
Vortex_5,750,68,1,0,1,0
Vortex_5,750,69,1,0,0,1
Vortex_5,750,70,1,0,1,0
Vortex_5,750,71,1,0,1,0
Vortex_5,750,72,1,0,0,1
Vortex_5,750,73,1,0,1,0
Vortex_5,750,74,1,0,1,0
Vortex_5,750,75,1,0,0,1
Vortex_5,750,76,1,0,1,0
Vortex_5,750,77,1,0,1,0
Vortex_5,750,78,1,0,0,1
Vortex_5,750,79,1,0,1,0
Vortex_5,750,80,1,0,1,0
Vortex_5,750,81,1,0,1,0
Vortex_5,750,82,1,0,0,1
Vortex_5,750,83,1,0,1,0
Vortex_5,750,84,1,0,1,0
Vortex_5,750,85,1,0,1,0
Vortex_5,750,86,1,0,0,1
Vortex_5,750,87,1,0,0,1
Vortex_5,750,88,1,0,1,0
Vortex_5,750,89,1,0,0,1
Vortex_5,750,90,0,1,0,1
Vortex_5,750,91,1,0,0,1
Vortex_5,750,92,1,0,1,0
Vortex_5,750,93,1,0,1,0
Vortex_5,750,94,1,0,1,0
Vortex_5,750,95,1,0,1,0
Vortex_5,750,96,1,0,1,0
Vortex_5,750,97,1,0,1,0
Vortex_5,750,98,1,0,1,0
Vortex_5,750,99,1,0,1,0
Vortex_5,1000,0,1,0,1,0
Vortex_5,1000,1,1,0,1,0
Vortex_5,1000,2,0,1,0,1
Vortex_5,1000,3,1,0,0,1
Vortex_5,1000,4,0,1,0,1
Vortex_5,1000,5,1,0,0,1
Vortex_5,1000,6,0,1,1,0
Vortex_5,1000,7,1,0,1,0
Vortex_5,1000,8,1,0,1,0
Vortex_5,1000,9,1,0,1,0
Vortex_5,1000,10,1,0,1,0
Vortex_5,1000,11,0,1,0,1
Vortex_5,1000,12,0,1,1,0
Vortex_5,1000,13,1,0,1,0
Vortex_5,1000,14,0,1,0,1
Vortex_5,1000,15,1,0,1,0
Vortex_5,1000,16,1,0,1,0
Vortex_5,1000,17,1,0,1,0
Vortex_5,1000,18,1,0,1,0
Vortex_5,1000,19,1,0,0,1
Vortex_5,1000,20,1,0,0,1
Vortex_5,1000,21,1,0,0,1
Vortex_5,1000,22,1,0,0,1
Vortex_5,1000,23,1,0,0,1
Vortex_5,1000,24,1,0,1,0
Vortex_5,1000,25,1,0,1,0
Vortex_5,1000,26,1,0,0,1
Vortex_5,1000,27,0,1,0,1
Vortex_5,1000,28,1,0,1,0
Vortex_5,1000,29,1,0,1,0
Vortex_5,1000,30,1,0,1,0
Vortex_5,1000,31,1,0,1,0
Vortex_5,1000,32,0,1,1,0
Vortex_5,1000,33,1,0,0,1
Vortex_5,1000,34,1,0,0,1
Vortex_5,1000,35,1,0,1,0
Vortex_5,1000,36,1,0,0,1
Vortex_5,1000,37,1,0,1,0
Vortex_5,1000,38,1,0,1,0
Vortex_5,1000,39,1,0,0,1
Vortex_5,1000,40,1,0,1,0
Vortex_5,1000,41,1,0,0,1
Vortex_5,1000,42,1,0,1,0
Vortex_5,1000,43,1,0,0,1
Vortex_5,1000,44,1,0,1,0
Vortex_5,1000,45,1,0,0,1
Vortex_5,1000,46,1,0,0,1
Vortex_5,1000,47,1,0,1,0
Vortex_5,1000,48,1,0,1,0
