first_player,,,DMCTS,DMCTS,UMCTS,UMCTS
score_player,,,DMCTS,UMCTS,DMCTS,UMCTS
dmcts_sim,umcts_sim,match,,,,
50,2000,34,1,0,0,1
50,2000,35,1,0,0,1
50,2000,36,1,0,1,0
50,2000,37,1,0,0,1
50,2000,38,1,0,1,0
50,2000,39,1,0,0,1
50,2000,40,1,0,0,1
50,2000,41,1,0,1,0
50,2000,42,1,0,0,1
50,2000,43,1,0,1,0
50,2000,44,1,0,1,0
50,2000,45,1,0,0,1
50,2000,46,1,0,0,1
50,2000,47,1,0,0,1
50,2000,48,1,0,0,1
50,2000,49,1,0,0,1
50,2500,0,1,0,1,0
50,2500,1,1,0,1,0
50,2500,2,1,0,0,1
50,2500,3,0,1,0,1
50,2500,4,1,0,0,1
50,2500,5,1,0,0,1
50,2500,6,1,0,1,0
50,2500,7,1,0,1,0
50,2500,8,1,0,1,0
50,2500,9,1,0,0,1
50,2500,10,0,1,0,1
50,2500,11,1,0,0,1
50,2500,12,1,0,1,0
50,2500,13,1,0,0,1
50,2500,14,1,0,0,1
50,2500,15,1,0,0,1
50,2500,16,1,0,0,1
50,2500,17,1,0,0,1
50,2500,18,1,0,0,1
50,2500,19,1,0,0,1
50,2500,20,1,0,0,1
50,2500,21,1,0,0,1
50,2500,22,0,1,0,1
50,2500,23,1,0,0,1
50,2500,24,1,0,0,1
50,2500,25,0,1,0,1
50,2500,26,1,0,0,1
50,2500,27,1,0,0,1
50,2500,28,1,0,1,0
50,2500,29,1,0,0,1
50,2500,30,1,0,1,0
50,2500,31,0,1,1,0
50,2500,32,1,0,0,1
50,2500,33,1,0,0,1
50,2500,34,1,0,0,1
50,2500,35,1,0,1,0
50,2500,36,1,0,0,1
50,2500,37,1,0,1,0
50,2500,38,1,0,1,0
50,2500,39,1,0,1,0
50,2500,40,0,1,0,1
50,2500,41,1,0,1,0
50,2500,42,1,0,0,1
50,2500,43,1,0,0,1
50,2500,44,0,1,1,0
50,2500,45,1,0,0,1
50,2500,46,1,0,0,1
50,2500,47,1,0,0,1
50,2500,48,1,0,0,1
50,2500,49,1,0,0,1
50,3000,0,1,0,0,1
50,3000,1,1,0,1,0
50,3000,2,1,0,0,1
50,3000,3,1,0,0,1
50,3000,4,1,0,0,1
50,3000,5,1,0,1,0
50,3000,6,1,0,1,0
50,3000,7,1,0,0,1
50,3000,8,0,1,0,1
50,3000,9,1,0,0,1
50,3000,10,0,1,1,0
50,3000,11,1,0,0,1
50,3000,12,1,0,0,1
50,3000,13,1,0,0,1
50,3000,14,1,0,1,0
50,3000,15,1,0,0,1
50,3000,16,1,0,0,1
50,3000,17,0,1,1,0
50,3000,18,1,0,1,0
50,3000,19,1,0,0,1
50,3000,20,0,1,0,1
50,3000,21,0,1,1,0
50,3000,22,0,1,1,0
50,3000,23,1,0,1,0
50,3000,24,0,1,1,0
50,3000,25,1,0,1,0
50,3000,26,1,0,0,1
50,3000,27,1,0,1,0
50,3000,28,0,1,1,0
50,3000,29,0,1,0,1
50,3000,30,1,0,1,0
50,3000,31,1,0,1,0
50,3000,32,1,0,0,1
50,3000,33,1,0,0,1
50,3000,34,1,0,0,1
50,3000,35,0,1,0,1
50,3000,36,0,1,1,0
50,3000,37,1,0,1,0
50,3000,38,1,0,0,1
50,3000,39,1,0,0,1
50,3000,40,1,0,0,1
50,3000,41,1,0,0,1
50,3000,42,0,1,0,1
50,3000,43,1,0,0,1
50,3000,44,1,0,0,1
50,3000,45,1,0,0,1
50,3000,46,1,0,1,0
50,3000,47,1,0,1,0
50,3000,48,1,0,0,1
50,3000,49,1,0,0,1
50,3500,0,1,0,1,0
50,3500,1,1,0,1,0
50,3500,2,1,0,1,0
50,3500,3,1,0,0,1
50,3500,4,0,1,1,0
50,3500,5,1,0,0,1
50,3500,6,0,1,1,0
50,3500,7,1,0,0,1
50,3500,8,1,0,1,0
50,3500,9,1,0,1,0
50,3500,10,0,1,1,0
50,3500,11,0,1,0,1
50,3500,12,1,0,0,1
50,3500,13,0,1,0,1
50,3500,14,1,0,1,0
50,3500,15,1,0,1,0
50,3500,16,1,0,1,0
50,3500,17,0,1,0,1
50,3500,18,1,0,0,1
50,3500,19,1,0,0,1
50,3500,20,1,0,1,0
50,3500,21,1,0,0,1
50,3500,22,0,1,0,1
50,3500,23,1,0,0,1
50,3500,24,1,0,0,1
50,3500,25,1,0,1,0
50,3500,26,1,0,1,0
50,3500,27,1,0,0,1
50,3500,28,1,0,1,0
50,3500,29,1,0,0,1
50,3500,30,1,0,1,0
50,3500,31,1,0,0,1
50,3500,32,1,0,1,0
50,3500,33,1,0,0,1
50,3500,34,1,0,1,0
50,3500,35,1,0,0,1
50,3500,36,1,0,0,1
50,3500,37,1,0,1,0
50,3500,38,1,0,1,0
50,3500,39,1,0,1,0
50,3500,40,1,0,1,0
50,3500,41,1,0,0,1
50,3500,42,1,0,0,1
50,3500,43,1,0,0,1
50,3500,44,0,1,0,1
50,3500,45,1,0,1,0
50,3500,46,1,0,0,1
50,3500,47,1,0,1,0
50,3500,48,1,0,0,1
50,3500,49,1,0,1,0
